date,花粉+花粉症+スギ花粉,overlap
2019-07-16,1.0,1.0
2019-07-17,1.0,1.0
2019-07-18,1.0,1.0
2019-07-19,1.0,1.0
2019-07-20,1.0,1.0
2019-07-21,1.0,1.0
2019-07-22,1.0,1.0
2019-07-23,1.0,1.0
2019-07-24,1.0,1.0
2019-07-25,1.0,1.0
2019-07-26,1.0,1.0
2019-07-27,1.0,1.0
2019-07-28,1.0,1.0
2019-07-29,1.0,1.0
2019-07-30,1.0,1.0
2019-07-31,1.0,1.0
2019-08-01,1.0,1.0
2019-08-02,1.0,1.0
2019-08-03,1.0,1.0
2019-08-04,1.0,1.0
2019-08-05,1.0,1.0
2019-08-06,1.0,1.0
2019-08-07,1.0,1.0
2019-08-08,1.0,1.0
2019-08-09,1.0,1.0
2019-08-10,1.0,1.0
2019-08-11,1.0,1.0
2019-08-12,1.0,1.0
2019-08-13,1.0,1.0
2019-08-14,1.0,1.0
2019-08-15,1.0,1.0
2019-08-16,1.0,1.0
2019-08-17,1.0,1.0
2019-08-18,1.0,1.0
2019-08-19,1.0,1.0
2019-08-20,1.0,1.0
2019-08-21,1.0,1.0
2019-08-22,1.0,1.0
2019-08-23,4.0,1.0
2019-08-24,2.0,1.0
2019-08-25,1.0,1.0
2019-08-26,3.0,1.0
2019-08-27,2.0,1.0
2019-08-28,2.0,
2019-08-29,2.0,
2019-08-30,1.0,
2019-08-31,1.0,
2019-09-01,1.0,
2019-09-02,2.0,
2019-09-03,2.0,
2019-09-04,2.0,
2019-09-05,2.0,
2019-09-06,2.0,
2019-09-07,1.0,
2019-09-08,2.0,
2019-09-09,2.0,
2019-09-10,2.0,
2019-09-11,1.0,
2019-09-12,1.0,
2019-09-13,2.0,
2019-09-14,2.0,
2019-09-15,1.0,
2019-09-16,3.0,
2019-09-17,2.0,
2019-09-18,2.0,
2019-09-19,3.0,
2019-09-20,2.0,
2019-09-21,2.0,
2019-09-22,2.0,
2019-09-23,2.0,
2019-09-24,3.0,
2019-09-25,2.0,
2019-09-26,3.0,
2019-09-27,2.0,
2019-09-28,2.0,
2019-09-29,1.0,
2019-09-30,2.0,
2019-10-01,3.0,
2019-10-02,1.0,
2019-10-03,2.0,
2019-10-04,2.0,
2019-10-05,3.0,
2019-10-06,2.0,
2019-10-07,3.0,
2019-10-08,2.0,
2019-10-09,3.0,
2019-10-10,3.0,
2019-10-11,2.0,
2019-10-12,1.0,
2019-10-13,2.0,
2019-10-14,2.0,
2019-10-15,2.0,
2019-10-16,3.0,
2019-10-17,2.0,
2019-10-18,2.0,
2019-10-19,2.0,
2019-10-20,1.0,
2019-10-21,2.0,
2019-10-22,2.0,
2019-10-23,3.0,
2019-10-24,2.0,
2019-10-25,1.0,
2019-10-26,2.0,
2019-10-27,2.0,
2019-10-28,3.0,
2019-10-29,2.0,
2019-10-30,2.0,
2019-10-31,2.0,
2019-11-01,2.0,
2019-11-02,2.0,
2019-11-03,3.0,
2019-11-04,3.0,1.0
2019-11-05,3.0,1.0
2019-11-06,3.0,1.0
2019-11-07,3.0,1.0
2019-11-08,3.0,1.0
2019-11-09,2.0,1.0
2019-11-10,2.0,1.0
2019-11-11,2.0,1.0
2019-11-12,3.0,1.0
2019-11-13,2.0,1.0
2019-11-14,2.0,1.0
2019-11-15,2.0,1.0
2019-11-16,2.0,1.0
2019-11-17,3.0,1.0
2019-11-18,3.0,1.0
2019-11-19,3.0,1.0
2019-11-20,2.0,1.0
2019-11-21,2.0,1.0
2019-11-22,1.0,1.0
2019-11-23,1.0,1.0
2019-11-24,1.0,1.0
2019-11-25,1.0,1.0
2019-11-26,3.0,1.0
2019-11-27,2.0,1.0
2019-11-28,2.0,1.0
2019-11-29,1.0,1.0
2019-11-30,1.0,1.0
2019-12-01,1.0,1.0
2019-12-02,2.0,1.0
2019-12-03,2.0,1.0
2019-12-04,1.0,1.0
2019-12-05,2.0,1.0
2019-12-06,1.0,1.0
2019-12-07,1.0,1.0
2019-12-08,2.0,1.0
2019-12-09,2.0,1.0
2019-12-10,1.0,1.0
2019-12-11,1.0,1.0
2019-12-12,1.0,1.0
2019-12-13,1.0,1.0
2019-12-14,1.0,1.0
2019-12-15,1.0,1.0
2019-12-16,2.0,1.0
2019-12-17,2.0,1.0
2019-12-18,1.0,1.0
2019-12-19,1.0,1.0
2019-12-20,1.0,1.0
2019-12-21,1.0,1.0
2019-12-22,1.0,1.0
2019-12-23,1.0,1.0
2019-12-24,1.0,1.0
2019-12-25,1.0,1.0
2019-12-26,1.0,1.0
2019-12-27,1.0,1.0
2019-12-28,1.0,1.0
2019-12-29,1.0,1.0
2019-12-30,1.0,1.0
2019-12-31,1.0,1.0
2020-01-01,1.0,1.0
2020-01-02,1.0,1.0
2020-01-03,2.0,1.0
2020-01-04,2.0,1.0
2020-01-05,2.0,1.0
2020-01-06,3.0,1.0
2020-01-07,3.0,1.0
2020-01-08,2.0,1.0
2020-01-09,3.0,1.0
2020-01-10,4.0,1.0
2020-01-11,3.0,1.0
2020-01-12,3.0,1.0
2020-01-13,3.0,1.0
2020-01-14,3.0,1.0
2020-01-15,4.0,1.0
2020-01-16,4.0,1.0
2020-01-17,3.0,1.0
2020-01-18,2.0,1.0
2020-01-19,3.0,1.0
2020-01-20,5.0,1.0
2020-01-21,5.0,1.0
2020-01-22,5.0,1.0
2020-01-23,4.0,1.0
2020-01-24,4.0,1.0
2020-01-25,3.0,1.0
2020-01-26,4.0,1.0
2020-01-27,4.0,1.0
2020-01-28,5.0,1.0
2020-01-29,9.0,1.0
2020-01-30,8.0,1.0
2020-01-31,8.0,1.0
2020-02-01,8.0,1.0
2020-02-02,9.0,1.0
2020-02-03,16.0,1.0
2020-02-04,12.0,1.0
2020-02-05,12.0,1.0
2020-02-06,12.0,1.0
2020-02-07,10.0,1.0
2020-02-08,9.0,1.0
2020-02-09,10.0,1.0
2020-02-10,12.0,1.0
2020-02-11,11.0,1.0
2020-02-12,14.0,1.0
2020-02-13,19.0,
2020-02-14,20.0,
2020-02-15,23.0,
2020-02-16,17.0,
2020-02-17,29.0,
2020-02-18,43.0,
2020-02-19,34.0,
2020-02-20,34.0,
2020-02-21,30.0,
2020-02-22,34.0,
2020-02-23,48.0,
2020-02-24,47.0,
2020-02-25,38.0,
2020-02-26,33.0,
2020-02-27,38.0,
2020-02-28,27.0,
2020-02-29,26.0,
2020-03-01,28.0,
2020-03-02,28.0,
2020-03-03,35.0,
2020-03-04,28.0,
2020-03-05,31.0,
2020-03-06,29.0,
2020-03-07,23.0,
2020-03-08,23.0,
2020-03-09,22.0,
2020-03-10,19.0,
2020-03-11,22.0,
2020-03-12,26.0,
2020-03-13,22.0,
2020-03-14,14.0,
2020-03-15,19.0,
2020-03-16,14.0,
2020-03-17,16.0,
2020-03-18,17.0,
2020-03-19,16.0,
2020-03-20,15.0,
2020-03-21,17.0,
2020-03-22,17.0,
2020-03-23,14.0,
2020-03-24,15.0,
2020-03-25,15.0,
2020-03-26,13.0,
2020-03-27,12.0,
2020-03-28,11.0,
2020-03-29,10.0,
2020-03-30,10.0,
2020-03-31,11.0,
2020-04-01,11.0,
2020-04-02,13.0,
2020-04-03,13.0,
2020-04-04,14.0,
2020-04-05,13.0,
2020-04-06,14.0,
2020-04-07,14.0,
2020-04-08,12.0,
2020-04-09,13.0,
2020-04-10,11.0,
2020-04-11,11.0,
2020-04-12,8.0,
2020-04-13,8.0,
2020-04-14,10.0,
2020-04-15,10.0,
2020-04-16,10.0,
2020-04-17,8.0,
2020-04-18,7.0,
2020-04-19,7.0,
2020-04-20,8.0,
2020-04-21,7.0,1.0
2020-04-22,6.0,1.0
2020-04-23,7.0,1.0
2020-04-24,8.0,1.0
2020-04-25,8.0,1.0
2020-04-26,11.0,1.0
2020-04-27,6.0,1.0
2020-04-28,7.0,1.0
2020-04-29,7.0,1.0
2020-04-30,6.0,1.0
2020-05-01,6.0,1.0
2020-05-02,5.0,1.0
2020-05-03,6.0,1.0
2020-05-04,5.0,1.0
2020-05-05,5.0,1.0
2020-05-06,5.0,1.0
2020-05-07,5.0,1.0
2020-05-08,7.0,1.0
2020-05-09,6.0,1.0
2020-05-10,5.0,1.0
2020-05-11,5.0,1.0
2020-05-12,5.0,1.0
2020-05-13,7.0,1.0
2020-05-14,7.0,1.0
2020-05-15,8.0,1.0
2020-05-16,4.0,1.0
2020-05-17,5.0,1.0
2020-05-18,4.0,1.0
2020-05-19,4.0,1.0
2020-05-20,4.0,1.0
2020-05-21,4.0,1.0
2020-05-22,5.0,1.0
2020-05-23,4.0,1.0
2020-05-24,6.0,1.0
2020-05-25,5.0,1.0
2020-05-26,4.0,1.0
2020-05-27,4.0,1.0
2020-05-28,4.0,1.0
2020-05-29,5.0,1.0
2020-05-30,6.0,1.0
2020-05-31,4.0,1.0
2020-06-01,4.0,1.0
2020-06-02,4.0,1.0
2020-06-03,3.0,1.0
2020-06-04,3.0,1.0
2020-06-05,2.0,1.0
2020-06-06,2.0,1.0
2020-06-07,4.0,1.0
2020-06-08,2.0,1.0
2020-06-09,3.0,1.0
2020-06-10,3.0,1.0
2020-06-11,2.0,1.0
2020-06-12,2.0,1.0
2020-06-13,1.0,1.0
2020-06-14,1.0,1.0
2020-06-15,2.0,1.0
2020-06-16,2.0,1.0
2020-06-17,2.0,1.0
2020-06-18,1.0,1.0
2020-06-19,2.0,1.0
2020-06-20,2.0,1.0
2020-06-21,2.0,1.0
2020-06-22,1.0,1.0
2020-06-23,2.0,1.0
2020-06-24,2.0,1.0
2020-06-25,2.0,1.0
2020-06-26,1.0,1.0
2020-06-27,1.0,1.0
2020-06-28,1.0,1.0
2020-06-29,2.0,1.0
2020-06-30,1.0,1.0
2020-07-01,1.0,1.0
2020-07-02,1.0,1.0
2020-07-03,1.0,1.0
2020-07-04,1.0,1.0
2020-07-05,1.0,1.0
2020-07-06,1.0,1.0
2020-07-07,1.0,1.0
2020-07-08,1.0,1.0
2020-07-09,2.0,1.0
2020-07-10,1.0,1.0
2020-07-11,1.0,1.0
2020-07-12,1.0,1.0
2020-07-13,1.0,1.0
2020-07-14,1.0,1.0
2020-07-15,2.0,1.0
2020-07-16,2.0,1.0
2020-07-17,1.0,1.0
2020-07-18,1.0,1.0
2020-07-19,1.0,1.0
2020-07-20,2.0,1.0
2020-07-21,1.0,1.0
2020-07-22,1.0,1.0
2020-07-23,1.0,1.0
2020-07-24,1.0,1.0
2020-07-25,1.0,1.0
2020-07-26,1.0,1.0
2020-07-27,1.0,1.0
2020-07-28,1.0,1.0
2020-07-29,1.0,1.0
2020-07-30,1.0,1.0
2020-07-31,1.0,
2020-08-01,2.0,
2020-08-02,1.0,
2020-08-03,2.0,
2020-08-04,1.0,
2020-08-05,1.0,
2020-08-06,1.0,
2020-08-07,1.0,
2020-08-08,1.0,
2020-08-09,2.0,
2020-08-10,1.0,
2020-08-11,1.0,
2020-08-12,1.0,
2020-08-13,2.0,
2020-08-14,1.0,
2020-08-15,1.0,
2020-08-16,1.0,
2020-08-17,1.0,
2020-08-18,1.0,
2020-08-19,1.0,
2020-08-20,1.0,
2020-08-21,2.0,
2020-08-22,2.0,
2020-08-23,1.0,
2020-08-24,1.0,
2020-08-25,2.0,
2020-08-26,1.0,
2020-08-27,1.0,
2020-08-28,1.0,
2020-08-29,1.0,
2020-08-30,2.0,
2020-08-31,1.0,
2020-09-01,1.0,
2020-09-02,1.0,
2020-09-03,1.0,
2020-09-04,1.0,
2020-09-05,1.0,
2020-09-06,1.0,
2020-09-07,2.0,
2020-09-08,1.0,
2020-09-09,1.0,
2020-09-10,1.0,
2020-09-11,1.0,
2020-09-12,1.0,
2020-09-13,1.0,
2020-09-14,2.0,
2020-09-15,2.0,
2020-09-16,2.0,
2020-09-17,2.0,
2020-09-18,1.0,
2020-09-19,2.0,
2020-09-20,2.0,
2020-09-21,2.0,
2020-09-22,3.0,
2020-09-23,2.0,
2020-09-24,2.0,
2020-09-25,2.0,
2020-09-26,1.0,
2020-09-27,2.0,
2020-09-28,2.0,
2020-09-29,3.0,
2020-09-30,3.0,
2020-10-01,4.0,
2020-10-02,4.0,
2020-10-03,3.0,
2020-10-04,2.0,
2020-10-05,3.0,
2020-10-06,3.0,
2020-10-07,4.0,1.0
2020-10-08,2.0,1.0
2020-10-09,1.0,1.0
2020-10-10,2.0,1.0
2020-10-11,3.0,1.0
2020-10-12,3.0,1.0
2020-10-13,3.0,1.0
2020-10-14,3.0,1.0
2020-10-15,2.0,1.0
2020-10-16,3.0,1.0
2020-10-17,2.0,1.0
2020-10-18,3.0,1.0
2020-10-19,3.0,1.0
2020-10-20,3.0,1.0
2020-10-21,3.0,1.0
2020-10-22,2.0,1.0
2020-10-23,1.0,1.0
2020-10-24,2.0,1.0
2020-10-25,3.0,1.0
2020-10-26,4.0,1.0
2020-10-27,2.0,1.0
2020-10-28,3.0,1.0
2020-10-29,3.0,1.0
2020-10-30,3.0,1.0
2020-10-31,2.0,1.0
2020-11-01,2.0,1.0
2020-11-02,2.0,1.0
2020-11-03,2.0,1.0
2020-11-04,2.0,1.0
2020-11-05,3.0,1.0
2020-11-06,2.0,1.0
2020-11-07,2.0,1.0
2020-11-08,2.0,1.0
2020-11-09,2.0,1.0
2020-11-10,1.0,1.0
2020-11-11,2.0,1.0
2020-11-12,2.0,1.0
2020-11-13,2.0,1.0
2020-11-14,2.0,1.0
2020-11-15,2.0,1.0
2020-11-16,2.0,1.0
2020-11-17,1.0,1.0
2020-11-18,2.0,1.0
2020-11-19,2.0,1.0
2020-11-20,1.0,1.0
2020-11-21,1.0,1.0
2020-11-22,2.0,1.0
2020-11-23,2.0,1.0
2020-11-24,2.0,1.0
2020-11-25,1.0,1.0
2020-11-26,2.0,1.0
2020-11-27,2.0,1.0
2020-11-28,1.0,1.0
2020-11-29,1.0,1.0
2020-11-30,2.0,1.0
2020-12-01,1.0,1.0
2020-12-02,1.0,1.0
2020-12-03,1.0,1.0
2020-12-04,1.0,1.0
2020-12-05,2.0,1.0
2020-12-06,1.0,1.0
2020-12-07,1.0,1.0
2020-12-08,1.0,1.0
2020-12-09,1.0,1.0
2020-12-10,1.0,1.0
2020-12-11,2.0,1.0
2020-12-12,1.0,1.0
2020-12-13,1.0,1.0
2020-12-14,1.0,1.0
2020-12-15,2.0,1.0
2020-12-16,1.0,1.0
2020-12-17,1.0,1.0
2020-12-18,1.0,1.0
2020-12-19,1.0,1.0
2020-12-20,1.0,1.0
2020-12-21,2.0,1.0
2020-12-22,2.0,1.0
2020-12-23,2.0,1.0
2020-12-24,1.0,1.0
2020-12-25,1.0,1.0
2020-12-26,1.0,1.0
2020-12-27,1.0,1.0
2020-12-28,2.0,1.0
2020-12-29,1.0,1.0
2020-12-30,1.0,1.0
2020-12-31,1.0,1.0
2021-01-01,1.0,1.0
2021-01-02,2.0,1.0
2021-01-03,1.0,1.0
2021-01-04,2.0,1.0
2021-01-05,2.0,1.0
2021-01-06,2.0,1.0
2021-01-07,2.0,1.0
2021-01-08,2.0,1.0
2021-01-09,2.0,1.0
2021-01-10,2.0,1.0
2021-01-11,2.0,1.0
2021-01-12,2.0,1.0
2021-01-13,3.0,1.0
2021-01-14,3.0,1.0
2021-01-15,3.0,1.0
2021-01-16,3.0,
2021-01-17,4.0,
2021-01-18,3.0,
2021-01-19,4.0,
2021-01-20,4.0,
2021-01-21,5.0,
2021-01-22,6.0,
2021-01-23,2.0,
2021-01-24,3.0,
2021-01-25,7.0,
2021-01-26,7.0,
2021-01-27,6.0,
2021-01-28,7.0,
2021-01-29,6.0,
2021-01-30,7.0,
2021-01-31,9.0,
2021-02-01,9.0,
2021-02-02,8.0,
2021-02-03,10.0,
2021-02-04,9.0,
2021-02-05,8.0,
2021-02-06,11.0,
2021-02-07,11.0,
2021-02-08,14.0,
2021-02-09,10.0,
2021-02-10,11.0,
2021-02-11,13.0,
2021-02-12,11.0,
2021-02-13,15.0,
2021-02-14,14.0,
2021-02-15,20.0,
2021-02-16,23.0,
2021-02-17,23.0,
2021-02-18,20.0,
2021-02-19,19.0,
2021-02-20,25.0,
2021-02-21,53.0,
2021-02-22,84.0,
2021-02-23,100.0,
2021-02-24,66.0,
2021-02-25,40.0,
2021-02-26,29.0,
2021-02-27,32.0,
2021-02-28,34.0,
2021-03-01,39.0,
2021-03-02,35.0,
2021-03-03,38.0,
2021-03-04,36.0,
2021-03-05,26.0,
2021-03-06,37.0,
2021-03-07,36.0,
2021-03-08,30.0,
2021-03-09,23.0,
2021-03-10,39.0,
2021-03-11,34.0,
2021-03-12,23.0,
2021-03-13,19.0,
2021-03-14,27.0,
2021-03-15,27.0,
2021-03-16,26.0,
2021-03-17,27.0,
2021-03-18,24.0,
2021-03-19,18.0,
2021-03-20,18.0,
2021-03-21,14.0,
2021-03-22,16.0,
2021-03-23,16.0,
2021-03-24,15.0,
2021-03-25,13.0,
2021-03-26,17.0,
2021-03-27,16.0,
2021-03-28,16.0,
2021-03-29,15.0,
2021-03-30,13.0,
2021-03-31,16.0,
2021-04-01,15.0,
2021-04-02,13.0,
2021-04-03,14.0,
2021-04-04,11.0,
2021-04-05,11.0,
2021-04-06,10.0,
2021-04-07,11.0,
2021-04-08,11.0,
2021-04-09,11.0,
2021-04-10,11.0,
2021-04-11,11.0,
2021-04-12,10.0,
2021-04-13,7.0,
2021-04-14,8.0,
2021-04-15,7.0,
2021-04-16,7.0,
2021-04-17,6.0,
2021-04-18,9.0,
2021-04-19,8.0,
2021-04-20,9.0,
2021-04-21,10.0,
2021-04-22,9.0,
2021-04-23,10.0,
2021-04-24,7.0,
2021-04-25,9.0,
2021-04-26,7.0,
2021-04-27,5.0,
2021-04-28,4.0,
2021-04-29,4.0,
2021-04-30,5.0,
2021-05-01,5.0,
2021-05-02,5.0,
2021-05-03,6.0,
2021-05-04,6.0,
2021-05-05,4.0,
2021-05-06,5.0,
2021-05-07,4.0,
2021-05-08,4.0,
2021-05-09,4.0,
2021-05-10,6.0,
2021-05-11,5.0,
2021-05-12,4.0,
2021-05-13,4.0,
2021-05-14,4.0,
2021-05-15,4.0,
2021-05-16,3.0,
2021-05-17,3.0,
2021-05-18,3.0,
2021-05-19,2.0,
2021-05-20,2.0,
2021-05-21,3.0,
2021-05-22,3.0,
2021-05-23,5.0,
2021-05-24,4.0,
2021-05-25,4.0,
2021-05-26,4.0,
2021-05-27,3.0,
2021-05-28,4.0,
2021-05-29,3.0,
2021-05-30,3.0,
2021-05-31,5.0,
2021-06-01,4.0,
2021-06-02,3.0,
2021-06-03,3.0,
2021-06-04,2.0,
2021-06-05,2.0,
2021-06-06,2.0,
2021-06-07,2.0,
2021-06-08,3.0,
2021-06-09,3.0,
2021-06-10,3.0,
2021-06-11,2.0,
2021-06-12,2.0,
2021-06-13,2.0,
2021-06-14,2.0,
2021-06-15,2.0,
2021-06-16,2.0,
2021-06-17,3.0,
2021-06-18,2.0,
2021-06-19,2.0,
2021-06-20,1.0,
2021-06-21,2.0,
2021-06-22,2.0,
2021-06-23,2.0,
2021-06-24,1.0,
2021-06-25,2.0,
2021-06-26,1.0,
2021-06-27,2.0,
2021-06-28,1.0,
2021-06-29,2.0,
2021-06-30,2.0,
2021-07-01,1.0,
2021-07-02,1.0,
2021-07-03,1.0,
