date,アレジオン+アレグラ+クラリチン,overlap
2019-07-16,4.0,1.0
2019-07-17,5.0,1.0
2019-07-18,4.0,1.0
2019-07-19,2.0,1.0
2019-07-20,4.0,1.0
2019-07-21,3.0,1.0
2019-07-22,1.0,1.0
2019-07-23,3.0,1.0
2019-07-24,3.0,1.0
2019-07-25,4.0,1.0
2019-07-26,4.0,1.0
2019-07-27,5.0,1.0
2019-07-28,2.0,1.0
2019-07-29,5.0,1.0
2019-07-30,1.0,1.0
2019-07-31,6.0,1.0
2019-08-01,2.0,1.0
2019-08-02,5.0,1.0
2019-08-03,2.0,1.0
2019-08-04,5.0,1.0
2019-08-05,3.0,1.0
2019-08-06,4.0,1.0
2019-08-07,4.0,1.0
2019-08-08,3.0,1.0
2019-08-09,2.0,1.0
2019-08-10,7.0,1.0
2019-08-11,2.0,1.0
2019-08-12,3.0,1.0
2019-08-13,3.0,1.0
2019-08-14,2.0,1.0
2019-08-15,3.0,
2019-08-16,7.0,
2019-08-17,3.0,
2019-08-18,2.0,
2019-08-19,3.0,
2019-08-20,2.0,
2019-08-21,3.0,
2019-08-22,1.0,
2019-08-23,9.0,
2019-08-24,2.0,
2019-08-25,4.0,
2019-08-26,3.0,
2019-08-27,1.0,
2019-08-28,5.0,
2019-08-29,4.0,
2019-08-30,5.0,
2019-08-31,2.0,
2019-09-01,1.0,
2019-09-02,5.0,
2019-09-03,4.0,
2019-09-04,5.0,
2019-09-05,3.0,
2019-09-06,2.0,
2019-09-07,3.0,
2019-09-08,1.0,
2019-09-09,5.0,
2019-09-10,6.0,
2019-09-11,5.0,
2019-09-12,4.0,
2019-09-13,4.0,
2019-09-14,4.0,
2019-09-15,4.0,
2019-09-16,5.0,
2019-09-17,2.0,
2019-09-18,3.0,
2019-09-19,2.0,
2019-09-20,6.0,
2019-09-21,3.0,
2019-09-22,5.0,
2019-09-23,2.0,
2019-09-24,6.0,
2019-09-25,6.0,
2019-09-26,4.0,
2019-09-27,4.0,
2019-09-28,6.0,
2019-09-29,3.0,
2019-09-30,2.0,
2019-10-01,4.0,
2019-10-02,7.0,
2019-10-03,2.0,
2019-10-04,4.0,
2019-10-05,4.0,
2019-10-06,4.0,
2019-10-07,2.0,
2019-10-08,3.0,
2019-10-09,4.0,
2019-10-10,5.0,
2019-10-11,4.0,
2019-10-12,4.0,
2019-10-13,6.0,
2019-10-14,2.0,
2019-10-15,8.0,
2019-10-16,6.0,
2019-10-17,4.0,
2019-10-18,4.0,
2019-10-19,4.0,
2019-10-20,5.0,
2019-10-21,1.0,
2019-10-22,4.0,1.0
2019-10-23,5.0,1.0
2019-10-24,3.0,1.0
2019-10-25,5.0,1.0
2019-10-26,5.0,1.0
2019-10-27,6.0,1.0
2019-10-28,7.0,1.0
2019-10-29,3.0,1.0
2019-10-30,4.0,1.0
2019-10-31,8.0,1.0
2019-11-01,4.0,1.0
2019-11-02,6.0,1.0
2019-11-03,3.0,1.0
2019-11-04,4.0,1.0
2019-11-05,8.0,1.0
2019-11-06,9.0,1.0
2019-11-07,9.0,1.0
2019-11-08,3.0,1.0
2019-11-09,5.0,1.0
2019-11-10,8.0,1.0
2019-11-11,6.0,1.0
2019-11-12,3.0,1.0
2019-11-13,3.0,1.0
2019-11-14,4.0,1.0
2019-11-15,7.0,1.0
2019-11-16,5.0,1.0
2019-11-17,3.0,1.0
2019-11-18,5.0,1.0
2019-11-19,2.0,1.0
2019-11-20,7.0,1.0
2019-11-21,6.0,1.0
2019-11-22,4.0,1.0
2019-11-23,2.0,1.0
2019-11-24,4.0,1.0
2019-11-25,4.0,1.0
2019-11-26,7.0,1.0
2019-11-27,10.0,1.0
2019-11-28,6.0,1.0
2019-11-29,5.0,1.0
2019-11-30,3.0,1.0
2019-12-01,6.0,1.0
2019-12-02,5.0,1.0
2019-12-03,7.0,1.0
2019-12-04,5.0,1.0
2019-12-05,3.0,1.0
2019-12-06,4.0,1.0
2019-12-07,4.0,1.0
2019-12-08,2.0,1.0
2019-12-09,5.0,1.0
2019-12-10,2.0,1.0
2019-12-11,5.0,1.0
2019-12-12,6.0,1.0
2019-12-13,4.0,1.0
2019-12-14,5.0,1.0
2019-12-15,5.0,1.0
2019-12-16,7.0,1.0
2019-12-17,5.0,1.0
2019-12-18,4.0,1.0
2019-12-19,3.0,1.0
2019-12-20,5.0,1.0
2019-12-21,4.0,1.0
2019-12-22,3.0,1.0
2019-12-23,3.0,1.0
2019-12-24,3.0,1.0
2019-12-25,6.0,1.0
2019-12-26,5.0,1.0
2019-12-27,4.0,1.0
2019-12-28,3.0,1.0
2019-12-29,5.0,1.0
2019-12-30,6.0,1.0
2019-12-31,4.0,1.0
2020-01-01,2.0,1.0
2020-01-02,2.0,1.0
2020-01-03,3.0,1.0
2020-01-04,6.0,1.0
2020-01-05,4.0,1.0
2020-01-06,7.0,1.0
2020-01-07,3.0,1.0
2020-01-08,5.0,1.0
2020-01-09,5.0,1.0
2020-01-10,3.0,1.0
2020-01-11,5.0,1.0
2020-01-12,4.0,1.0
2020-01-13,4.0,1.0
2020-01-14,9.0,1.0
2020-01-15,5.0,1.0
2020-01-16,6.0,1.0
2020-01-17,8.0,1.0
2020-01-18,5.0,1.0
2020-01-19,7.0,1.0
2020-01-20,8.0,1.0
2020-01-21,8.0,1.0
2020-01-22,5.0,1.0
2020-01-23,6.0,1.0
2020-01-24,6.0,1.0
2020-01-25,7.0,1.0
2020-01-26,7.0,1.0
2020-01-27,5.0,1.0
2020-01-28,6.0,1.0
2020-01-29,10.0,1.0
2020-01-30,10.0,1.0
2020-01-31,8.0,
2020-02-01,9.0,
2020-02-02,11.0,
2020-02-03,13.0,
2020-02-04,9.0,
2020-02-05,15.0,
2020-02-06,13.0,
2020-02-07,13.0,
2020-02-08,18.0,
2020-02-09,13.0,
2020-02-10,27.0,
2020-02-11,24.0,
2020-02-12,22.0,
2020-02-13,26.0,
2020-02-14,29.0,
2020-02-15,41.0,
2020-02-16,33.0,
2020-02-17,44.0,
2020-02-18,50.0,
2020-02-19,57.0,
2020-02-20,46.0,
2020-02-21,29.0,
2020-02-22,47.0,
2020-02-23,67.0,
2020-02-24,67.0,
2020-02-25,63.0,
2020-02-26,61.0,
2020-02-27,58.0,
2020-02-28,37.0,
2020-02-29,41.0,
2020-03-01,40.0,
2020-03-02,41.0,
2020-03-03,42.0,
2020-03-04,41.0,
2020-03-05,35.0,
2020-03-06,29.0,
2020-03-07,32.0,
2020-03-08,28.0,
2020-03-09,25.0,
2020-03-10,15.0,
2020-03-11,21.0,
2020-03-12,27.0,
2020-03-13,23.0,
2020-03-14,21.0,
2020-03-15,13.0,
2020-03-16,24.0,
2020-03-17,17.0,
2020-03-18,24.0,
2020-03-19,20.0,
2020-03-20,16.0,
2020-03-21,13.0,
2020-03-22,18.0,
2020-03-23,21.0,
2020-03-24,17.0,
2020-03-25,15.0,
2020-03-26,19.0,
2020-03-27,9.0,
2020-03-28,13.0,
2020-03-29,11.0,
2020-03-30,12.0,
2020-03-31,9.0,
2020-04-01,8.0,
2020-04-02,11.0,
2020-04-03,12.0,
2020-04-04,7.0,
2020-04-05,10.0,
2020-04-06,15.0,
2020-04-07,11.0,
2020-04-08,8.0,1.0
2020-04-09,10.0,1.0
2020-04-10,6.0,1.0
2020-04-11,12.0,1.0
2020-04-12,6.0,1.0
2020-04-13,6.0,1.0
2020-04-14,8.0,1.0
2020-04-15,10.0,1.0
2020-04-16,6.0,1.0
2020-04-17,8.0,1.0
2020-04-18,5.0,1.0
2020-04-19,6.0,1.0
2020-04-20,5.0,1.0
2020-04-21,7.0,1.0
2020-04-22,6.0,1.0
2020-04-23,6.0,1.0
2020-04-24,9.0,1.0
2020-04-25,10.0,1.0
2020-04-26,7.0,1.0
2020-04-27,7.0,1.0
2020-04-28,6.0,1.0
2020-04-29,6.0,1.0
2020-04-30,5.0,1.0
2020-05-01,3.0,1.0
2020-05-02,4.0,1.0
2020-05-03,7.0,1.0
2020-05-04,7.0,1.0
2020-05-05,6.0,1.0
2020-05-06,5.0,1.0
2020-05-07,8.0,1.0
2020-05-08,8.0,1.0
2020-05-09,7.0,1.0
2020-05-10,9.0,1.0
2020-05-11,9.0,1.0
2020-05-12,10.0,1.0
2020-05-13,5.0,1.0
2020-05-14,8.0,1.0
2020-05-15,9.0,1.0
2020-05-16,5.0,1.0
2020-05-17,3.0,1.0
2020-05-18,6.0,1.0
2020-05-19,4.0,1.0
2020-05-20,5.0,1.0
2020-05-21,5.0,1.0
2020-05-22,7.0,1.0
2020-05-23,11.0,1.0
2020-05-24,6.0,1.0
2020-05-25,8.0,1.0
2020-05-26,5.0,1.0
2020-05-27,3.0,1.0
2020-05-28,8.0,1.0
2020-05-29,6.0,1.0
2020-05-30,6.0,1.0
2020-05-31,3.0,1.0
2020-06-01,6.0,1.0
2020-06-02,2.0,1.0
2020-06-03,4.0,1.0
2020-06-04,5.0,1.0
2020-06-05,2.0,1.0
2020-06-06,5.0,1.0
2020-06-07,4.0,1.0
2020-06-08,5.0,1.0
2020-06-09,3.0,1.0
2020-06-10,6.0,1.0
2020-06-11,3.0,1.0
2020-06-12,4.0,1.0
2020-06-13,3.0,1.0
2020-06-14,6.0,1.0
2020-06-15,3.0,1.0
2020-06-16,5.0,1.0
2020-06-17,6.0,1.0
2020-06-18,5.0,1.0
2020-06-19,5.0,1.0
2020-06-20,4.0,1.0
2020-06-21,4.0,1.0
2020-06-22,7.0,1.0
2020-06-23,4.0,1.0
2020-06-24,6.0,1.0
2020-06-25,8.0,1.0
2020-06-26,5.0,1.0
2020-06-27,7.0,1.0
2020-06-28,2.0,1.0
2020-06-29,5.0,1.0
2020-06-30,5.0,1.0
2020-07-01,2.0,1.0
2020-07-02,4.0,1.0
2020-07-03,5.0,1.0
2020-07-04,5.0,1.0
2020-07-05,4.0,1.0
2020-07-06,5.0,1.0
2020-07-07,7.0,1.0
2020-07-08,2.0,1.0
2020-07-09,6.0,1.0
2020-07-10,5.0,1.0
2020-07-11,5.0,1.0
2020-07-12,2.0,1.0
2020-07-13,5.0,1.0
2020-07-14,7.0,1.0
2020-07-15,5.0,1.0
2020-07-16,3.0,1.0
2020-07-17,4.0,1.0
2020-07-18,4.0,
2020-07-19,6.0,
2020-07-20,3.0,
2020-07-21,5.0,
2020-07-22,3.0,
2020-07-23,3.0,
2020-07-24,5.0,
2020-07-25,3.0,
2020-07-26,7.0,
2020-07-27,5.0,
2020-07-28,4.0,
2020-07-29,3.0,
2020-07-30,6.0,
2020-07-31,5.0,
2020-08-01,6.0,
2020-08-02,4.0,
2020-08-03,5.0,
2020-08-04,5.0,
2020-08-05,3.0,
2020-08-06,7.0,
2020-08-07,4.0,
2020-08-08,3.0,
2020-08-09,5.0,
2020-08-10,4.0,
2020-08-11,7.0,
2020-08-12,3.0,
2020-08-13,4.0,
2020-08-14,7.0,
2020-08-15,4.0,
2020-08-16,3.0,
2020-08-17,2.0,
2020-08-18,3.0,
2020-08-19,5.0,
2020-08-20,5.0,
2020-08-21,6.0,
2020-08-22,3.0,
2020-08-23,3.0,
2020-08-24,9.0,
2020-08-25,3.0,
2020-08-26,2.0,
2020-08-27,3.0,
2020-08-28,3.0,
2020-08-29,3.0,
2020-08-30,2.0,
2020-08-31,3.0,
2020-09-01,3.0,
2020-09-02,2.0,
2020-09-03,6.0,
2020-09-04,4.0,
2020-09-05,3.0,
2020-09-06,4.0,
2020-09-07,6.0,
2020-09-08,3.0,
2020-09-09,3.0,
2020-09-10,5.0,
2020-09-11,5.0,
2020-09-12,7.0,
2020-09-13,6.0,
2020-09-14,3.0,
2020-09-15,6.0,
2020-09-16,5.0,
2020-09-17,7.0,
2020-09-18,3.0,
2020-09-19,8.0,
2020-09-20,7.0,
2020-09-21,8.0,
2020-09-22,6.0,
2020-09-23,9.0,
2020-09-24,4.0,
2020-09-25,7.0,
2020-09-26,9.0,
2020-09-27,2.0,
2020-09-28,10.0,
2020-09-29,6.0,
2020-09-30,8.0,
2020-10-01,8.0,
2020-10-02,3.0,
2020-10-03,5.0,
2020-10-04,8.0,
2020-10-05,6.0,
2020-10-06,6.0,
2020-10-07,2.0,
2020-10-08,4.0,
2020-10-09,4.0,
2020-10-10,6.0,
2020-10-11,3.0,
2020-10-12,6.0,
2020-10-13,6.0,
2020-10-14,2.0,
2020-10-15,6.0,
2020-10-16,9.0,
2020-10-17,5.0,
2020-10-18,6.0,
2020-10-19,6.0,
2020-10-20,3.0,
2020-10-21,7.0,
2020-10-22,10.0,
2020-10-23,5.0,
2020-10-24,5.0,
2020-10-25,6.0,
2020-10-26,7.0,
2020-10-27,6.0,
2020-10-28,6.0,
2020-10-29,7.0,
2020-10-30,12.0,
2020-10-31,3.0,
2020-11-01,4.0,
2020-11-02,4.0,
2020-11-03,5.0,
2020-11-04,6.0,
2020-11-05,6.0,
2020-11-06,4.0,
2020-11-07,5.0,
2020-11-08,4.0,
2020-11-09,6.0,
2020-11-10,3.0,
2020-11-11,4.0,
2020-11-12,6.0,
2020-11-13,4.0,
2020-11-14,3.0,
2020-11-15,6.0,
2020-11-16,3.0,
2020-11-17,4.0,
2020-11-18,3.0,
2020-11-19,6.0,
2020-11-20,7.0,
2020-11-21,3.0,
2020-11-22,5.0,
2020-11-23,7.0,
2020-11-24,5.0,
2020-11-25,4.0,
2020-11-26,5.0,
2020-11-27,7.0,
2020-11-28,3.0,
2020-11-29,6.0,
2020-11-30,8.0,
2020-12-01,5.0,
2020-12-02,2.0,
2020-12-03,6.0,
2020-12-04,8.0,
2020-12-05,6.0,
2020-12-06,5.0,
2020-12-07,3.0,
2020-12-08,3.0,
2020-12-09,8.0,
2020-12-10,3.0,
2020-12-11,2.0,
2020-12-12,5.0,
2020-12-13,8.0,
2020-12-14,4.0,
2020-12-15,3.0,
2020-12-16,3.0,
2020-12-17,8.0,
2020-12-18,9.0,
2020-12-19,4.0,
2020-12-20,8.0,
2020-12-21,5.0,
2020-12-22,3.0,
2020-12-23,5.0,
2020-12-24,6.0,
2020-12-25,7.0,
2020-12-26,5.0,
2020-12-27,5.0,
2020-12-28,5.0,
2020-12-29,4.0,
2020-12-30,7.0,
2020-12-31,3.0,
2021-01-01,6.0,
2021-01-02,5.0,
